"","baseMean","logFC","lfcSE","stat","pvalue","FDR"
"ABCC2",2582.85808382188,8.84991991331603,0.450667941811951,19.6373406942019,7.41824415299549e-86,2.78419655551712e-83
"ABCG2",512.56140144389,3.91707166657833,0.396010882795311,9.89132328619103,4.5398664995891e-23,1.84759282930782e-21
"ACTA2",1182.23380045051,-0.279382941413352,0.413893191320421,-0.675012170463719,0.499668032661423,0.637148823398551
"AFP",58.336881909861,6.67207001918392,0.900155584936875,7.41212978159971,1.24287037017355e-13,2.45511026756504e-12
"ALB",1319436.46591913,14.8372464599571,0.794022651120081,18.6861753112799,6.41503445473318e-78,1.8057558295496e-75
"APOA1",71094.4130040333,10.8425747346153,0.714859111138215,15.1674288900809,5.81088576182782e-52,8.13008247564608e-50
"APOB",78546.2430200584,11.3677538687652,1.11359826935924,10.2081281747197,1.82348555349499e-24,8.05912446960543e-23
"APOE",22229.1108142215,5.64346950700534,0.702397313730879,8.03458298698394,9.38977088351005e-16,2.22243375916512e-14
"CD14",2321.73560508192,3.64467174214082,0.406563827265857,8.9645745580743,3.11480968014618e-19,9.44226601116109e-18
"CD44",1405.04382424653,-1.26488884283284,0.305271559510082,-4.14348734242654,3.42063959099356e-05,0.000207813522942042
"CD68",6.99108891189614,1.27765435927623,0.935895321781773,1.36516801563215,0.172200248577496,0.293116037550564
"CDH5",595.360233405789,1.89194983170138,0.415428847842414,4.5542090818379,5.25830376867163e-06,3.80105755457783e-05
"CLEC11A",79.913121549362,1.05039482385686,0.510567935401682,2.05730667953223,0.0396567352538274,0.0926564728336708
"CYP1A1",673.392791407732,12.4350126443832,1.87575076878882,6.62935228458551,3.37163044239958e-11,5.29012619844314e-10
"CYP2C9",12310.8542029205,5.96725114929787,0.680420938638183,8.76994050365487,1.78760718143451e-18,5.11100021826106e-17
"CYP2D6",953.888579068555,6.3542956411848,0.358008439087039,17.749010770218,1.75416715906303e-70,4.27600850268508e-68
"CYP3A4",23592.2991496821,10.9504835146062,1.04313300982433,10.4976866914127,8.85228938682728e-26,4.16956937353648e-24
"CYP7A1",377.617165411827,12.5623029651446,2.07862755507218,6.04355644881672,1.50753597292504e-09,1.93096901840805e-08
"CYP8B1",5244.77995730835,13.2030607091834,0.712164855974979,18.5393320077665,9.94492170586678e-77,2.76644322041435e-74
"DES",543.03075587739,-2.20341024052585,1.86072074336066,-1.1841702998088,0.23634565639648,0.371565754944412
"ERG",172.391037173918,1.25679891354802,0.38046794980603,3.30329772636239,0.000955548778239071,0.00401028591790253
"FCGR3A",692.109999789768,3.70618863532777,0.382229265148576,9.6962450896771,3.12798876667939e-22,1.20067036344374e-20
"HNF1A",147.546788734562,1.27917830420865,0.358425290656528,3.56888405353756,0.000358505030886789,0.00170149567549541
"HNF4A",2976.50914934702,2.59638390824911,0.464117529391165,5.59423797600379,2.21592843198313e-08,2.40788730580153e-07
"KRT19",4062.94273776275,-6.83599918053911,0.796132966349744,-8.58650435225921,8.96554195176365e-18,2.46213983100408e-16
"KRT7",223.791481905762,-0.945949882578263,0.956862985209486,-0.988594916095711,NA,NA
"MARCO",708.587808364475,7.1111688122003,0.698697532197545,10.1777500055485,2.49257961290162e-24,1.08539677618893e-22
"NR1H4",923.506227508746,8.21506463970173,0.466276394017172,17.6184442213028,1.77828487547171e-69,4.12230841965968e-67
"NR1I2",719.046277066239,4.26667163223753,0.715903644706102,5.95984063468362,2.52484039703235e-09,3.13056377492553e-08
"PCK1",18560.8843985955,9.1378029143375,0.464740753840931,19.6621510784594,4.55018764040196e-86,1.73530946382749e-83
"PCOLCE",569.563581749297,2.38177200345104,0.28116861527745,8.47097390688775,2.43349751428582e-17,6.50170042093652e-16
"PDGFRA",919.476588863683,-0.50180234017,0.355554885285696,-1.4113217422587,0.158149766368825,0.274576050061742
"PECAM1",1048.79169891879,-0.129697505277953,0.362760122257305,-0.357529665804775,0.720695321687288,0.813599469147573
"SOX9",739.253588126047,-3.06072851923117,0.55529737591446,-5.51187283064462,3.55035414268478e-08,3.71852101927631e-07
"UGT1A1",1192.66227211372,6.00947127169343,0.761909262629851,7.88738445172695,3.08585644408157e-15,6.99569277280044e-14
"UGT2B7",8546.4983504936,10.9561722549083,0.479162236921828,22.8652665228619,1.03021251455899e-115,9.02199070620272e-113
"VWF",365.353105847701,-1.46710334382224,0.399971174845338,-3.66802268785879,0.000244433498706169,0.00120685530943984
"ARX",48.9150389170583,-7.53534375821863,1.3515621659086,-5.57528462122415,2.47125484673546e-08,2.65724515011641e-07
"ATP4A",7535.45404970908,-28.8926265518127,3.90676329432444,-7.3955405984761,NA,NA
"ATP4B",4106.48915703376,-14.1068404527234,3.02475363562995,-4.66379816410582,NA,NA
"AZGP1",11351.7319645312,5.04818832537831,0.379265382981476,13.3104378936289,2.01298465213588e-40,1.99987487814088e-38
"C1QB",1217.92653724254,1.06278205125192,0.357164989201698,2.9756053459421,0.00292410899055419,0.0104939557964621
"CAPN8",2515.25641153562,-10.1782489425884,0.896677820272358,-11.3510658036539,7.32641503925451e-30,4.26682471928997e-28
"CD2",184.89485472071,-2.44830291505051,0.560925895892434,-4.36475287195515,1.27266552674055e-05,8.48623135357595e-05
"CD3E",214.896052060576,-1.92262991703981,0.598365354670585,-3.21313709430631,0.0013129360325762,0.00528392449590198
"CD3G",85.1448272069715,-2.13995361944055,0.62088123549705,-3.44663922356648,0.000567606018658008,0.00254959048464449
"CXCR1",13.3643399900264,1.62297054009016,0.816694171810788,1.9872439355012,0.0468953712165799,0.105613968227072
"CXCR2",24.4787865013292,1.21764812619867,0.886033432977094,1.37426882652424,0.16935824038326,0.289110937395292
"FCGR3B",69.4563547581769,2.06441525787132,0.958222560174384,2.15442147124528,0.0312071342521353,0.0765687132294011
"IGKC",36873.3338657908,-3.8869391600364,0.573460191544492,-6.77804530697721,1.21812654374422e-11,1.98365028421708e-10
"INSM1",74.8406906021917,-8.15439348273003,1.40743739609357,-5.79378770619785,6.88164375817463e-09,8.03141493889631e-08
"ITGB2",729.030309002085,-0.0774556250376179,0.508716674046037,-0.152256902494626,0.878984315363241,0.923304492970406
"JCHAIN",28082.7164156509,-5.74729564837762,0.530134839098917,-10.8411959080947,2.19581646562839e-27,1.12138402440137e-25
"KIFC1",70.0634152597537,-1.73130904595215,0.705986235723163,-2.45232691283098,0.0141935646192558,0.0399722290879351
"LGALS4",1758.64875710374,-1.49668434543483,0.777343839493556,-1.92538265487501,0.0541815039272432,0.118633360529648
"LIPF",139839.135306297,-19.9861428554273,2.32905148506278,-8.58123703301841,9.38582476909067e-18,2.57158547700057e-16
"MFSD4A",1479.38628039107,-7.09879232132487,0.957897507930154,-7.41080570995962,NA,NA
"MMP2",1055.4162282633,-2.29819943070346,0.290137370026789,-7.92107349181273,2.35468705839433e-15,5.41074591795275e-14
"NCAPG",52.0392555436697,-1.16506142807054,0.593081142181277,-1.96442163678581,0.0494812156956794,0.110380044726864
"NCAPH",42.4196301395306,-1.87149686212153,0.511218705621984,-3.6608536454951,0.000251376326023108,0.00123686969367401
"PGC",111083.601505443,-19.654101905883,1.25072403261398,-15.7141794619606,1.20936785199299e-55,1.93212857164691e-53
"ST18",51.559825026822,-4.19987070907917,0.804384779504333,-5.22122100777088,1.77747258280097e-07,1.66911593408773e-06
"VILL",1081.56268950056,-7.13270219913084,0.659934296079054,-10.8082005155804,3.14784261042001e-27,1.59040039579874e-25
"PRPS2",576.216370072071,-0.0268807611622249,0.317105610446559,-0.0847691124870686,0.932444949792318,0.956971259075453
"POLR3D",158.338737004022,-0.734487012283122,0.355603385900739,-2.06546686956502,0.0388788471553809,0.0912900040704053
"POLE4",138.864699581995,0.510515557087224,0.394140149768638,1.29526402572004,0.195229164649245,0.322404916757326
"ADSL",105.297169400257,0.150909421206437,0.335065008940656,0.45038848336791,0.652430347608978,0.763585386784848
"AK2",1484.8927700242,0.855158231212052,0.218515199075907,3.91349542195913,9.09696259727672e-05,0.000504095806450921
"GART",539.28465355784,0.30212554064958,0.250358918003631,1.20676963720221,0.227520872247636,0.361266252070808
